Set 1,Set 1,Set 1,Set 1,Set 1,Set 1,Set 2,Set 2,Set 2,Set 2,Set 2,Set 2,Set 3,Set 3,Set 3,Set 3,Set 3,Set 3
Colour,Colour,Pattern,Pattern,Chevron,Chevron,Far,Far,Middle,Middle,Near,Near,Small,Small,Medium,Medium,Large,Large
L,R,L,R,L,R,L,R,L,R,L,R,L,R,L,R,L,R
26.33333333,21,3.333333333,3,3,1.666666667,19,10.66666667,18.33333333,11.33333333,24.66666667,13.33333333,3.333333333,14,2.666666667,20.66666667,13,34
17,16.33333333,4.333333333,5,0,1,11.66666667,10.33333333,9.666666667,7.333333333,10,10,16.33333333,26,8,23,15,29.33333333
15,12,1.666666667,3,3.333333333,3.333333333,10.76923077,30.66666667,5.333333333,23.66666667,3.692307692,24.66666667,19,21.66666667,15.66666667,23.33333333,29,25
11.66666667,15.66666667,7,10.66666667,10.66666667,14,16,29.33333333,10.66666667,17.66666667,13.23076923,32.33333333,3.666666667,10.33333333,1.333333333,5.666666667,11,23
38.33333333,40.33333333,13.33333333,11.33333333,12.66666667,13,16.92307692,16.66666667,9,16,9.230769231,15,19.71428571,16.57142857,15,20.25,29.66666667,24.28571429
15,21.33333333,5.666666667,3,4.666666667,3.333333333,18.33333333,18.66666667,13.33333333,13.33333333,11.66666667,18.66666667,14.57142857,17.14285714,16.66666667,13,23.66666667,15.42857143
38,29,40.66666667,39,21.66666667,21.33333333,19.66666667,9.666666667,16.66666667,6.666666667,13,8,14,10,11,8,16.66666667,14.85714286
12.33333333,16.66666667,26.33333333,23.66666667,13.66666667,9,19.33333333,15.33333333,18.66666667,12,16,14,1.666666667,5,1,9.666666667,6,8.666666667
1.666666667,1.666666667,8.333333333,14.33333333,2,1.666666667,4,4,3.666666667,4.666666667,2,4,24.66666667,18,8.666666667,31.33333333,10.33333333,26
38.33333333,36.66666667,24,16.66666667,20,18,2.666666667,9.666666667,3.333333333,8,5,15,10.66666667,15.33333333,7.666666667,12,6.333333333,13.33333333
1,1.666666667,3.333333333,2,13.66666667,12.33333333,1,5.666666667,3,5.230769231,3,13.23076923,4.333333333,6,1,7.666666667,0.666666667,3
13.66666667,13.23076923,21,19,15,8,11.66666667,19.66666667,7.333333333,14.15384615,9.666666667,29.53846154,39,42.46153846,32.66666667,45.53846154,63.42857143,43.07692308
10.33333333,15.66666667,25.33333333,27.69230769,16.66666667,9.230769231,13.66666667,19.66666667,6,14.46153846,3,16.30769231,7.666666667,8.307692308,6.666666667,7.692307692,22.57142857,11.69230769
4.333333333,1.846153846,7.384615385,6.769230769,2.769230769,5.846153846,1.666666667,6,2,1.846153846,1.333333333,5.230769231,6.153846154,11.33333333,13.84615385,20.92307692,29.33333333,38.76923077
21.33333333,12.30769231,22.76923077,14.15384615,22.15384615,12.92307692,34.33333333,41.66666667,25.33333333,33.66666667,19.66666667,24.66666667,10.33333333,9.666666667,10.15384615,7.076923077,15.38461538,10.46153846
10,4.615384615,8.615384615,6.153846154,6.153846154,4.307692308,14.66666667,12.66666667,10.33333333,9.333333333,11,11.33333333,1.666666667,5,7.384615385,4.307692308,6.461538462,8
17,12.66666667,8.666666667,18,9.333333333,5.333333333,17.84615385,11.33333333,6.333333333,5,4,5.538461538,14.33333333,10.66666667,9.333333333,8,11.66666667,10.66666667
10,10.66666667,48,45,14,22,22.46153846,16.66666667,11,5.333333333,11.66666667,5.846153846,0,0,1.333333333,0,4.307692308,0.307692308
3.666666667,5,33.33333333,35.66666667,23.66666667,42.66666667,13.23076923,13.53846154,12,11.69230769,9.333333333,13,0.307692308,0,0.666666667,0.307692308,1.538461538,0.307692308
21.71428571,22.85714286,31.07692308,25.53846154,41,47.07692308,17.23076923,3.333333333,10.15384615,0.333333333,4.666666667,0.333333333,14,10.33333333,3.666666667,4.666666667,2,5
4.857142857,9.714285714,12.92307692,9.846153846,11.66666667,12,8.333333333,1.333333333,11,2.333333333,12.33333333,2.333333333,4.666666667,13.33333333,10,8.333333333,14.33333333,8
72,55.33333333,18,13.66666667,26.66666667,15.66666667,9,6.666666667,9.666666667,5,12,3,12.66666667,16.33333333,9.666666667,11,12,4.666666667
27.66666667,29.33333333,29,25.66666667,24.66666667,23,12,9.666666667,14,5,16.33333333,12.66666667,51,49.33333333,57.23076923,62.33333333,73.23076923,87.07692308
17.66666667,19.33333333,23,12.66666667,15.66666667,5.666666667,59.66666667,58,53.66666667,63.66666667,56.66666667,70,1,2.666666667,3.384615385,4,4.923076923,4.307692308
9.666666667,7.384615385,8.307692308,3.692307692,6.666666667,7.692307692,5.666666667,4.333333333,3.333333333,5,4.333333333,3.666666667,38.46153846,47.38461538,44.30769231,47.69230769,51.38461538,59.69230769
11.38461538,4.615384615,13.53846154,12.92307692,7.692307692,25.53846154,40.66666667,49.33333333,41.66666667,49,41,42.66666667,42.66666667,36.66666667,39.66666667,49.33333333,42.33333333,45.66666667
12.92307692,8.923076923,21.23076923,16,7.384615385,26.76923077,3,1.333333333,4,2.666666667,6.333333333,1,3,4,3.666666667,5,2.666666667,7
16.92307692,10.15384615,23.38461538,26.15384615,29.53846154,36.30769231,49.66666667,49.66666667,52.66666667,48,44.66666667,51,1,1.538461538,2.153846154,2.857142857,2,3.076923077
4,2.153846154,13.53846154,8.923076923,3.076923077,12.92307692,4,9.666666667,3.333333333,3.333333333,5.666666667,5,3.333333333,4,4.615384615,4,9.333333333,8
15.33333333,20.33333333,24.66666667,22.33333333,18,20,2,3.333333333,3.666666667,4,2,5.333333333,46,38,42,51,44.66666667,61.66666667
11.33333333,10,9.333333333,11,18.66666667,10.66666667,7,7,13.33333333,12,7,8.666666667,2.666666667,4,8.666666667,6.333333333,11.66666667,16
15.66666667,12.66666667,12,16.66666667,14.66666667,14.66666667,2,6.333333333,3,6,4.666666667,7,9.333333333,8.333333333,9.333333333,6.666666667,19,4.666666667
1.333333333,1.333333333,9.666666667,11,1,7.666666667,12,8.666666667,15.69230769,9.666666667,16,11.66666667,43,43.66666667,46.66666667,47.33333333,47,37.66666667
2,0.333333333,3.333333333,5.666666667,5.333333333,6.333333333,42.90909091,46.18181818,44.72727273,50.54545455,36.72727273,44.72727273,9.333333333,14.33333333,12.66666667,15.66666667,13,13.33333333
17,11.33333333,15.66666667,17,17.33333333,31,10.66666667,10.33333333,10,3,11.33333333,2,3,3,4.333333333,11,7,17.66666667
7.333333333,5,9,8.333333333,10.66666667,12,45,47,42,42.66666667,40.33333333,40.33333333,17,12,19,20.33333333,28.33333333,27.66666667
